Country,Year,arrivals_from_china,gdp_china,exchange_rate,RER,peace_index,CPI_destination,covid_dummy,post_covid,is_thailand,thailand_post_covid,ln_arrivals,ln_gdp_china,ln_rer
Indonesia,2021,54713.0,12887.4357,0.0004508481355153,0.0005559492915269,1.783,156.48277,1,0,0,0,10.909856620136853,9.464008138982022,-7.494833470162622
Indonesia,2022,169378.0,12970.6056,0.0004531357700343,0.0005728122881842,1.8,163.0698569,1,0,0,0,12.039888182636366,9.470440968587436,-7.464952489712402
Indonesia,2023,787924.0,12951.1782,0.0004647209818808,0.000608070571964,1.829,169.0535202,0,1,0,0,13.577156917488226,9.468942043684173,-7.405219610424766
Indonesia,2024,1197534.0,13303.1482,0.0004538313813894,0.0006053705659449,1.857,172.7414443,0,1,0,0,13.995775000348491,9.495755992966135,-7.409669781744435
Malaysia,2008,949864.0,3523.44302,2.0827479392538346,2.713185450415433,1.638,97.83239896,0,0,0,0,13.764074095433918,8.167193921215857,0.9981233875571403
Malaysia,2009,1019756.0,3898.24459,1.9380605357655785,2.559880457504267,1.561,98.40306356,0,0,0,0,13.835073940957543,8.268281625661812,0.9399605611137699
Malaysia,2010,1130261.0,4629.24552,2.101650833597578,2.101650833597578,1.539,100.0,0,0,0,0,13.93795913746959,8.440149179158102,0.7427231471427166
Malaysia,2011,1250536.0,5703.76028,2.1120894249995885,2.067492494476449,1.467,103.1744709,0,0,0,0,14.039082817370037,8.64888093456302,0.7263365176679828
Malaysia,2012,1557960.0,6405.05742,2.042637344286915,1.980166084546702,1.485,104.8908515,0,0,0,0,14.2588878311423,8.764843179161845,0.6831807222728153
Malaysia,2013,1790079.0,7147.03519,1.9511197809914225,1.8842436444938544,1.574,107.0988169,0,0,0,0,14.39777031092127,8.874452890952085,0.6335264907724285
Malaysia,2014,1612523.0,7781.06597,1.8827571231950984,1.842148978742865,1.659,110.4649225,0,0,0,0,14.293310591116233,8.959448621925675,0.6109328133589453
